,orig,pred
38,5,5
74,3,4
60,0,0
201,3,4
352,2,1
115,3,2
349,2,2
78,4,5
1,2,3
407,5,5
226,3,2
251,5,5
298,3,3
439,5,5
36,3,4
203,4,4
495,5,5
284,4,5
110,4,3
95,5,5
135,5,5
361,4,4
188,5,5
220,2,3
214,0,0
99,0,0
348,5,5
164,4,4
108,4,4
303,4,4
72,5,4
175,4,4
476,5,5
322,5,5
463,5,5
189,4,4
179,3,4
197,4,4
171,5,5
326,2,3
375,5,5
22,4,4
391,2,2
254,5,5
230,4,5
393,3,3
480,5,5
224,0,1
353,5,5
455,2,2
162,3,4
215,5,5
426,4,5
82,3,4
475,4,5
356,4,4
142,5,5
364,5,5
49,5,5
25,3,2
404,4,4
67,2,2
449,5,5
259,4,5
341,4,5
457,2,3
112,4,5
456,4,4
35,4,5
285,4,5
182,4,4
213,5,5
208,3,3
62,0,0
145,4,4
17,5,5
50,5,5
432,5,4
232,3,3
77,4,4
80,3,3
490,2,2
452,5,5
33,5,5
185,3,3
117,5,5
325,2,2
448,5,5
221,5,5
376,5,4
174,4,5
177,3,4
429,4,4
55,3,3
281,5,5
383,5,5
173,4,4
339,5,5
156,3,3
265,5,4
191,5,4
103,4,5
9,4,4
271,5,4
316,3,4
123,5,5
86,5,5
100,4,5
451,4,4
474,3,3
79,0,0
133,4,4
255,2,2
442,5,5
268,5,5
48,3,3
124,5,5
331,4,3
43,5,5
386,5,5
183,2,2
392,2,2
111,5,5
333,2,2
351,2,3
